Date,Open,High,Low,Close,Adj Close,Volume,Moving Average,RSI
2023-06-05,182.630005,184.949997,178.039993,179.580002,178.873611,121946500,182.7266960487805,71.39599349356244
2023-06-06,179.970001,180.119995,177.429993,179.210007,178.505081,64848400,183.72494912195123,69.92187722342379
2023-06-07,178.440002,181.210007,177.320007,177.820007,177.120544,61944600,184.5924987317073,63.72392770616469
2023-06-08,177.899994,180.839996,177.460007,180.570007,179.859741,50214900,185.6364250487805,64.4654177709206
2023-06-09,181.500000,182.229996,180.630005,180.960007,180.248184,48870700,186.59119168292682,64.9793458171826
2023-06-12,181.270004,183.889999,180.970001,183.789993,183.067047,54274900,187.5078161707317,72.5859751163214
2023-06-13,182.800003,184.149994,182.440002,183.309998,182.588943,54929100,188.1674067317073,80.80758989943145
2023-06-14,183.369995,184.389999,182.020004,183.949997,183.226440,57462900,188.51651631707318,81.1631892307438
2023-06-15,183.960007,186.520004,183.779999,186.009995,185.278320,65433200,188.5228323414634,82.00592862347952
2023-06-16,186.729996,186.990005,184.270004,184.919998,184.192612,101235600,188.3141449512195,74.98688123602055
2023-06-20,184.410004,186.100006,184.410004,185.009995,184.282242,49799100,188.0826791707317,72.39979379385031
2023-06-21,184.899994,185.410004,182.589996,183.960007,183.236404,49515700,187.6834768780488,68.42401573162178
2023-06-22,183.740005,187.050003,183.669998,187.000000,186.264435,51245300,187.19736275609756,68.76704242011812
2023-06-23,185.550003,187.559998,185.009995,186.679993,185.945679,53079300,186.70824002439025,66.03249029795826
2023-06-26,186.830002,188.050003,185.229996,185.270004,184.541245,48088700,186.61336048780487,65.88503570977099
2023-06-27,185.889999,188.389999,185.669998,188.059998,187.320251,50730800,186.33538965853657,71.7659021473892
2023-06-28,187.929993,189.899994,187.600006,189.250000,188.505600,51216800,186.0827573414634,78.39052217976743
2023-06-29,189.080002,190.070007,188.940002,189.589996,188.844238,46347300,185.8603024390244,75.45152097289707
2023-06-30,191.630005,194.479996,191.259995,193.970001,193.207031,85069600,185.6270435609756,79.96321133180149
2023-07-03,193.779999,193.880005,191.759995,192.460007,191.702972,31458200,185.51634365853658,71.2605040697982
2023-07-05,191.570007,192.979996,190.619995,191.330002,190.577393,46920300,185.43844902439025,69.05897747733786
2023-07-06,189.839996,192.020004,189.199997,191.809998,191.055511,45094300,185.38757324390244,68.82187663089982
2023-07-07,191.410004,192.669998,190.240005,190.679993,189.929947,46778000,185.36998841463415,61.70427441287119
2023-07-10,189.259995,189.990005,187.039993,188.610001,187.868103,59922200,185.2375116097561,58.81512069562668
2023-07-11,189.160004,189.300003,186.600006,188.080002,187.340195,46638100,184.98776058536586,57.18299491833516
2023-07-12,189.679993,191.699997,188.470001,189.770004,189.023544,60750200,184.7120346585366,63.19855189321174
2023-07-13,190.500000,191.190002,189.779999,190.539993,189.790497,41342300,184.44630880487804,58.966558974872086
2023-07-14,190.229996,191.179993,189.630005,190.690002,189.939926,41573900,184.1024973902439,60.24530841298384
2023-07-17,191.899994,194.320007,191.809998,193.990005,193.226944,50520200,183.62767104878048,70.3168794432393
2023-07-18,193.350006,194.330002,192.419998,193.729996,192.967957,48353800,183.19638248780487,64.97621817975124
2023-07-19,193.100006,198.229996,192.649994,195.100006,194.332581,80507300,182.7140506585366,65.30612693428695
2023-07-20,195.089996,196.470001,192.500000,193.130005,192.370331,59581200,182.35158741463414,58.53424724442152
2023-07-21,194.100006,194.970001,191.229996,191.940002,191.184998,71917800,182.04479456097562,44.21653266774612
2023-07-24,193.410004,194.910004,192.250000,192.750000,191.991821,45377800,181.6312318780488,50.860512280667216
2023-07-25,193.330002,194.440002,192.919998,193.619995,192.858383,37283200,181.1585834390244,56.90172236775485
2023-07-26,193.669998,195.639999,193.320007,194.500000,193.734940,47471900,180.6854764878049,57.916417991267785
2023-07-27,196.020004,197.199997,192.550003,193.220001,192.459976,47460200,180.2748483414634,57.40958554642954
2023-07-28,194.669998,196.630005,194.139999,195.830002,195.059708,48291400,179.7005845609756,70.41852830168824
2023-07-31,196.059998,196.490005,195.259995,196.449997,195.677261,38824100,179.07403748780487,73.55088928154771
2023-08-01,196.240005,196.729996,195.279999,195.610001,194.840561,35175100,178.47422341463414,67.25766109044955
2023-08-02,195.039993,195.179993,191.850006,192.580002,191.822479,50389300,177.960671,55.31805670931677
2023-08-03,191.570007,192.369995,190.690002,191.169998,190.418030,61235200,177.54316446341463,51.17415747872629
2023-08-04,185.520004,187.380005,181.919998,181.990005,181.274155,115799700,177.31583753658538,27.203654345393844
2023-08-07,182.130005,183.130005,177.350006,178.850006,178.146484,97576100,177.19544756097562,24.520563323326286
2023-08-08,179.690002,180.270004,177.580002,179.800003,179.092758,67823000,177.08238663414633,23.419021934862016
2023-08-09,180.869995,180.929993,177.009995,178.190002,177.489090,60378500,177.07120380487805,23.715674023051037
2023-08-10,179.479996,180.750000,177.600006,177.970001,177.269958,54686900,177.10185612195122,24.553716481354485
2023-08-11,177.320007,178.619995,176.550003,177.789993,177.329803,51988100,177.11645246341465,22.110345069814144
2023-08-14,177.970001,179.690002,177.309998,179.460007,178.995483,43675600,177.12472348780489,24.36643401892799
2023-08-15,178.880005,179.479996,177.050003,177.449997,176.990677,43622600,177.20403012195123,20.347838403017235
2023-08-16,177.130005,178.539993,176.500000,176.570007,176.112961,46964900,177.25949580487804,20.63493950336799
2023-08-17,177.139999,177.509995,173.479996,174.000000,173.549622,66062900,177.37431968292682,11.444734714719587
2023-08-18,172.300003,175.100006,171.960007,174.490005,174.038345,61114200,177.4390296097561,11.03624326224839
2023-08-21,175.070007,176.130005,173.740005,175.839996,175.384842,46311900,177.4390296097561,15.545500335848473
2023-08-22,177.059998,177.679993,176.250000,177.229996,176.771240,42084200,177.3959711707317,21.626627263122117
2023-08-23,178.520004,181.550003,178.330002,181.119995,180.651184,52722800,177.19551570731707,32.98341026917862
2023-08-24,180.669998,181.100006,176.009995,176.380005,175.923447,54945800,177.11329017073172,38.820252457432055
2023-08-25,177.380005,179.149994,175.820007,178.610001,178.147675,51449600,176.98751902439025,49.50371192996662
2023-08-28,180.089996,180.589996,178.550003,180.190002,179.723587,43820700,176.76638604878048,50.78597097067218
2023-08-29,179.699997,184.899994,179.500000,184.119995,183.643417,53003900,176.34723009756098,60.92884612442942
2023-08-30,184.940002,187.850006,184.740005,187.649994,187.164276,60813900,175.8745544878049,65.90011834098706
2023-08-31,187.839996,189.119995,187.479996,187.869995,187.383713,60794500,175.44688336585367,66.53543852171111
2023-09-01,189.490005,189.919998,188.279999,189.460007,188.969604,45732600,174.99220941463415,66.44737166724444
2023-09-05,188.279999,189.979996,187.610001,189.699997,189.208969,45280000,174.60954392682928,71.39366246018949
2023-09-06,188.399994,188.850006,181.470001,182.910004,182.436554,81755800,174.47963729268292,59.17776667888341
2023-09-07,175.179993,178.210007,173.539993,177.559998,177.100403,112488800,174.4574993902439,54.76956094505528
2023-09-08,178.350006,180.240005,177.789993,178.179993,177.718781,65551300,174.48304297560975,54.92655720969147
2023-09-11,180.070007,180.300003,177.339996,179.360001,178.895737,58953100,174.5428875609756,54.72103890176131
2023-09-12,179.490005,180.130005,174.820007,176.300003,175.843658,90370200,174.703203097561,48.806170149351296
2023-09-13,176.509995,177.300003,173.979996,174.210007,173.759064,84267900,174.9026853414634,40.6998760537624
2023-09-14,174.000000,176.100006,173.580002,175.740005,175.285126,60895800,175.16798580487804,49.05715930466204
2023-09-15,176.479996,176.500000,173.820007,175.009995,174.556976,109205100,175.41207173170733,44.45128545006163
2023-09-18,176.479996,179.380005,176.169998,177.970001,177.509338,67257600,175.64845680487804,46.71791739829725
2023-09-19,177.520004,179.630005,177.130005,179.070007,178.606491,51826900,175.8719664390244,41.852234484020016
2023-09-20,179.259995,179.699997,175.399994,175.490005,175.035751,58436200,176.22397851219512,30.412402105011495
2023-09-21,174.550003,176.300003,173.860001,173.929993,173.479797,63047900,176.61345314634147,28.47438507781588
2023-09-22,174.669998,177.080002,174.050003,174.789993,174.337555,56725400,177.02487885365855,26.824637077638556
2023-09-25,174.199997,176.970001,174.149994,176.080002,175.624222,46172700,177.38519170731706,29.17434440980334
2023-09-26,174.820007,175.199997,171.660004,171.960007,171.514893,64588900,177.86205268292682,31.768261655054047
2023-09-27,172.619995,173.039993,169.050003,170.429993,169.988831,66921800,178.34349351219512,36.3983371416055
2023-09-28,169.339996,172.029999,167.619995,170.690002,170.248184,56294400,178.81422380487805,35.51262524969478
2023-09-29,172.020004,173.070007,170.339996,171.210007,170.766830,51814200,179.28716329268292,33.82299605479302
2023-10-02,171.220001,174.300003,170.929993,173.750000,173.300262,52164500,179.6732218292683,44.831784931164535
2023-10-03,172.259995,173.630005,170.820007,172.399994,171.953751,49594600,180.10625024390245,46.21811934067042
2023-10-04,171.089996,174.210007,170.970001,173.660004,173.210495,53020300,180.54005017073172,45.60440779630597
2023-10-05,173.789993,175.449997,172.679993,174.910004,174.457260,48527900,180.89935073170733,49.7932367184921
2023-10-06,173.800003,177.990005,173.179993,177.490005,177.030594,57224100,181.29308034146342,48.991607668921205
2023-10-09,176.809998,179.050003,175.800003,178.990005,178.526703,42390800,181.62352468292684,49.834706994066444
2023-10-10,178.100006,179.720001,177.949997,178.389999,177.928253,43698000,182.01606558536585,56.83314279035965
2023-10-11,178.199997,179.850006,177.600006,179.800003,179.334595,47551100,182.40938246341463,63.92974730199999
2023-10-12,180.070007,182.339996,179.039993,180.710007,180.242249,56743100,182.71893265853657,64.0151474977149
